participant_number,subexperiment_number,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
28,6,300.0033000000001,63.488000000000056,75.0,84.375,3,1,6,20.575000000000045,16.519000000000005,11.911999999999807,16.83699999999999,16.460749999999962,4.556293000015199,4,2,6,3
28,7,300.0033000000001,72.56000000000017,100.0,84.375,4,0,6,17.5300000000002,15.755999999999858,19.125999999999976,23.042000000000144,18.863500000000045,5.301243141516673,4,2,6,3
28,8,300.0033000000001,75.49900000000002,100.0,84.375,4,0,7,18.529999999999973,20.462999999999965,21.24000000000001,15.266000000000076,18.874750000000006,5.29808341832342,4,2,6,3
29,1,300.0009,124.09399999999994,100.0,90.625,4,0,5,34.20399999999995,28.8420000000001,27.139999999999873,24.067999999999984,28.563499999999976,3.5009715195966913,2,2,6,3
29,2,300.0009,78.50099999999998,100.0,90.625,4,0,6,20.567000000000007,11.694999999999936,12.288000000000011,38.134000000000015,20.670999999999992,4.837695321948625,2,2,6,3
29,3,300.0009,110.10900000000015,100.0,90.625,4,0,6,32.10100000000011,31.394000000000005,32.08999999999992,17.662000000000035,28.311750000000018,3.5321023956484474,2,2,6,3
29,4,300.0009,104.36300000000006,100.0,90.625,4,0,6,33.184999999999945,18.28300000000013,27.35199999999986,38.11500000000001,29.233749999999986,3.42070380980887,2,2,6,3
29,5,300.0009,127.79099999999994,75.0,90.625,3,1,7,30.192999999999984,47.96600000000012,19.346000000000004,32.77299999999991,32.569500000000005,2.3027679270483117,2,2,6,3
29,6,300.0009,101.1880000000001,75.0,90.625,3,1,6,21.27500000000009,27.669999999999845,22.688000000000102,34.91399999999999,26.636750000000006,2.8156588172355854,2,2,6,3
29,7,300.0009,103.68599999999992,75.0,90.625,3,1,7,22.222999999999956,23.82400000000007,38.95100000000002,21.357999999999947,26.589,2.8207153334085526,2,2,6,3
29,8,300.0009,103.03700000000003,100.0,90.625,4,0,7,18.15599999999995,19.990999999999985,31.332000000000107,33.55799999999999,25.75925000000001,3.8821006046371673,2,2,6,3
30,1,300.0096000000001,146.03500000000008,75.0,84.375,3,1,4,44.875999999999976,28.49500000000012,29.676999999999907,25.876999999999953,32.23124999999999,2.32693426410704,4,2,6,1
30,2,300.0096000000001,89.07300000000009,75.0,84.375,3,1,5,18.34900000000016,23.15300000000002,22.05699999999979,28.2650000000001,22.956000000000017,3.2671197072660716,4,2,6,1
30,3,300.0096000000001,130.21800000000007,100.0,84.375,4,0,5,49.30099999999993,19.860000000000127,36.60299999999984,28.363000000000056,33.53174999999999,2.982248167781283,4,2,6,1
30,4,300.0096000000001,90.36200000000008,100.0,84.375,4,0,5,18.413999999999987,18.083000000000084,32.63799999999992,23.69600000000014,23.207750000000033,4.308905430298062,4,2,6,1
30,5,300.0096000000001,91.13400000000001,100.0,84.375,4,0,6,30.139999999999873,22.38499999999999,18.292000000000144,21.755999999999858,23.143249999999966,4.320914305467043,4,2,6,1
30,6,300.0096000000001,94.62800000000016,75.0,84.375,3,1,6,19.968000000000075,31.677999999999884,20.95400000000018,26.520999999999958,24.780250000000024,3.0266038478223556,4,2,6,1
30,7,300.0096000000001,142.89200000000005,50.0,84.375,2,2,7,35.277000000000044,28.176999999999907,46.28500000000008,34.68899999999985,36.10699999999997,1.3847730356994499,4,2,6,1
30,8,300.0096000000001,95.5440000000001,100.0,84.375,4,0,6,37.65000000000009,17.368999999999915,14.490999999999985,26.034000000000106,23.886000000000024,4.186552792430708,4,2,6,1
31,1,300.00569999999993,165.7059999999999,50.0,71.875,2,2,6,50.057000000000016,33.16899999999987,39.531999999999925,18.680000000000064,35.35949999999997,1.4140471443317932,3,4,8,1
31,2,300.00569999999993,93.20100000000002,100.0,71.875,4,0,4,30.260999999999967,23.723000000000184,18.965999999999894,45.82400000000007,29.69350000000003,3.367740414568842,3,4,8,1
31,3,300.00569999999993,93.96100000000001,75.0,71.875,3,1,5,27.102999999999838,38.889000000000124,12.910000000000082,19.798999999999978,24.675250000000005,3.039482882645565,3,4,8,1
31,4,300.00569999999993,110.29599999999982,100.0,71.875,4,0,4,44.91099999999983,22.85900000000015,32.27599999999984,14.855000000000018,28.72524999999996,3.481257778435354,3,4,8,1
31,5,300.00569999999993,100.25400000000013,75.0,71.875,3,1,5,26.399000000000115,33.88499999999999,16.791999999999916,26.60200000000009,25.919500000000028,2.893574335924687,3,4,8,1
31,6,300.00569999999993,84.39200000000005,50.0,71.875,2,2,5,20.176999999999907,29.08699999999999,19.34699999999998,18.951000000000022,21.890499999999975,2.2840958406614766,3,4,8,1
31,7,300.00569999999993,96.22900000000004,75.0,71.875,3,1,5,24.730000000000018,25.822000000000116,26.442999999999984,23.330999999999904,25.081500000000005,2.990251779199808,3,4,8,1
31,8,300.00569999999993,106.95100000000025,50.0,71.875,2,2,6,28.076999999999998,15.825000000000045,30.852999999999838,32.19600000000037,26.737750000000062,1.870015240624207,3,4,8,1
32,1,300.0008,167.163,50.0,75.0,2,2,6,42.49000000000001,26.687999999999874,38.403999999999996,19.294000000000096,31.718999999999994,1.5763422554304993,4,1,5,2
32,2,300.0008,136.21800000000007,75.0,75.0,3,1,4,36.559999999999945,30.74500000000012,46.17699999999991,29.75299999999993,35.808749999999975,2.094460152895593,4,1,5,2
32,3,300.0008,130.4480000000001,100.0,75.0,4,0,4,31.910000000000082,38.96900000000005,26.607999999999947,38.47000000000003,33.98925000000003,2.94210669549931,4,1,5,2
32,4,300.0008,144.55600000000004,100.0,75.0,4,0,6,44.10200000000009,34.521999999999935,44.330999999999904,25.73199999999997,37.171749999999975,2.6902150154351103,4,1,5,2
32,5,300.0008,144.73700000000008,50.0,75.0,2,2,8,45.003000000000156,38.947999999999865,13.7650000000001,52.375999999999976,37.523000000000025,1.332516056818484,4,1,5,2
32,6,300.0008,174.115,75.0,75.0,3,1,8,44.75200000000018,38.67099999999982,45.340000000000146,50.24399999999969,44.75174999999996,1.6759121151686822,4,1,5,2
32,7,300.0008,153.59100000000035,75.0,75.0,3,1,8,29.153000000000247,43.391000000000076,41.74299999999994,45.534999999999854,39.95550000000003,1.877088260690016,4,1,5,2
32,8,300.0008,164.71799999999985,75.0,75.0,3,1,9,42.92599999999993,31.452999999999975,45.89900000000034,44.4399999999996,41.17949999999996,1.8212945761847537,4,1,5,2
33,1,300.00159999999994,172.08300000000008,75.0,78.125,3,1,2,39.90100000000007,43.85699999999997,13.879999999999882,29.881000000000085,31.87975,2.3525905943428036,4,1,2,1
33,2,300.00159999999994,68.96800000000007,100.0,78.125,4,0,2,16.2349999999999,18.664999999999964,10.973000000000184,25.05899999999997,17.733000000000004,5.639203744431285,4,1,2,1
33,3,300.00159999999994,78.24099999999999,50.0,78.125,2,2,3,9.524999999999864,25.0,20.402000000000044,25.399000000000115,20.081500000000005,2.4898538455792636,4,1,2,1
33,4,300.00159999999994,140.93999999999983,75.0,78.125,3,1,3,39.10799999999995,33.896999999999935,39.81400000000008,29.94900000000007,35.69200000000001,2.1013112182001565,4,1,2,1
33,5,300.00159999999994,144.41499999999996,50.0,78.125,2,2,4,30.774999999999864,38.371000000000095,31.21199999999999,45.875,36.55824999999999,1.3676803457495919,4,1,2,1
33,6,300.00159999999994,121.346,75.0,78.125,3,1,4,26.115999999999985,29.692999999999984,17.795000000000073,49.89799999999991,30.875499999999988,2.4291104597496407,4,1,2,1
33,7,300.00159999999994,147.44600000000014,100.0,78.125,4,0,5,23.713999999999942,43.69200000000001,43.60799999999995,38.36000000000013,37.343500000000006,2.6778421947594624,4,1,2,1
33,8,300.00159999999994,110.59900000000016,100.0,78.125,4,0,4,23.036000000000058,27.278999999999996,30.403999999999996,29.88000000000011,27.64975000000004,3.6166692284740316,4,1,2,1
34,1,300.0039999999999,229.14599999999996,75.0,75.0,3,1,5,50.093000000000075,34.006999999999834,45.18500000000017,83.36699999999973,53.162999999999954,1.410755600699736,3,4,6,2
34,2,300.0039999999999,145.89400000000023,75.0,75.0,3,1,6,46.74800000000005,24.922000000000025,28.876000000000204,49.14499999999998,37.422750000000065,2.0041285047197195,3,4,6,2
34,3,300.0039999999999,179.7159999999999,50.0,75.0,2,2,7,45.210999999999785,44.521999999999935,41.96300000000019,51.7829999999999,45.869749999999954,1.0900430021964378,3,4,6,2
34,4,300.0039999999999,140.83500000000004,100.0,75.0,4,0,6,39.29600000000028,31.416999999999916,31.096000000000004,42.36900000000014,36.044500000000085,2.7743483749254327,3,4,6,2
34,5,300.0039999999999,179.46399999999994,75.0,75.0,3,1,6,47.01499999999987,47.71299999999974,41.277000000000044,46.14499999999998,45.53749999999991,1.646994235520179,3,4,6,2
34,6,300.0039999999999,131.92800000000034,75.0,75.0,3,1,7,30.8420000000001,33.77300000000014,27.05899999999974,42.55799999999999,33.55799999999999,2.2349365278026108,3,4,6,2
34,7,300.0039999999999,172.55000000000018,75.0,75.0,3,1,6,45.97400000000016,43.99499999999989,44.2470000000003,40.822999999999865,43.759750000000054,1.7139037585909405,3,4,6,2
34,8,300.0039999999999,177.20600000000013,75.0,75.0,3,1,7,46.059999999999945,40.67599999999993,45.90599999999995,44.564000000000306,44.30150000000003,1.6929449341444407,3,4,6,2
35,1,300.009,240.279,50.0,68.75,2,2,8,49.162000000000035,29.89800000000014,43.50499999999988,58.042000000000144,45.15175000000005,1.1073767904898468,6,1,6,2
35,2,300.009,164.13099999999986,100.0,68.75,4,0,4,44.722999999999956,43.96499999999992,30.536000000000058,50.531999999999925,42.438999999999965,2.3563231932891933,6,1,6,2
35,3,300.009,174.52600000000007,50.0,68.75,2,2,9,50.08699999999999,41.067000000000235,37.80899999999974,55.19200000000001,46.03874999999999,1.086041649697266,6,1,6,2
35,4,300.009,171.87699999999995,75.0,68.75,3,1,8,46.92500000000018,39.460999999999785,42.903999999999996,51.18600000000015,45.11900000000003,1.6622708836632007,6,1,6,2
35,5,300.009,168.9459999999999,50.0,68.75,2,2,9,50.0619999999999,32.77399999999989,41.48199999999997,47.66700000000037,42.99625000000003,1.1628921126842449,6,1,6,2
35,6,300.009,142.80199999999968,75.0,68.75,3,1,8,18.10699999999997,42.34299999999985,41.11400000000003,45.652000000000044,36.803999999999974,2.0378219758721894,6,1,6,2
35,7,300.009,181.0,75.0,68.75,3,1,8,45.75099999999975,42.7170000000001,45.853000000000065,50.077000000000226,46.099500000000035,1.6269156932287758,6,1,6,2
35,8,300.009,144.7779999999998,75.0,68.75,3,1,7,34.228999999999814,41.1840000000002,38.228999999999814,31.135999999999967,36.19449999999995,2.0721380320214426,6,1,6,2
36,1,300.01,103.95700000000011,100.0,90.625,4,0,2,26.65599999999995,17.490999999999985,15.893000000000029,13.282999999999902,18.330749999999966,5.455314157904078,2,2,4,1
36,2,300.01,70.60699999999997,100.0,90.625,4,0,2,28.963999999999942,12.769000000000005,14.162000000000035,18.479000000000042,18.593500000000006,5.378223572753918,2,2,4,1
36,3,300.01,56.621000000000095,75.0,90.625,3,1,2,22.466000000000122,13.505999999999858,9.788000000000011,15.009999999999991,15.192499999999995,4.936646371564919,2,2,4,1
36,4,300.01,57.552000000000135,100.0,90.625,4,0,2,14.00500000000011,15.952999999999975,15.792999999999893,13.836999999999989,14.896999999999991,6.712760958582269,2,2,4,1
36,5,300.01,65.92700000000013,100.0,90.625,4,0,3,8.994000000000142,17.972999999999956,15.798999999999978,25.044000000000096,16.952500000000043,5.898834980091417,2,2,4,1
36,6,300.01,77.77999999999997,50.0,90.625,2,2,4,5.954999999999927,31.676999999999907,12.114000000000033,29.573000000000093,19.82974999999999,2.5214639619763246,2,2,4,1
36,7,300.01,79.57399999999984,100.0,90.625,4,0,4,14.927999999999884,12.759999999999991,38.625999999999976,14.840000000000146,20.2885,4.928900608719226,2,2,4,1
36,8,300.01,60.25599999999986,100.0,90.625,4,0,5,13.746999999999844,13.854000000000042,16.304000000000087,16.350999999999885,15.063999999999965,6.63834306956985,2,2,4,1
37,1,300.0070999999999,127.39700000000016,75.0,78.125,3,1,3,14.08900000000017,9.684999999999945,22.249000000000024,11.933999999999969,14.489250000000027,5.176251358765972,4,3,6,1
37,2,300.0070999999999,47.70499999999993,100.0,78.125,4,0,4,19.36200000000008,11.095000000000027,8.4699999999998,10.81100000000015,12.434500000000014,8.042140817885713,4,3,6,1
37,3,300.0070999999999,54.41899999999987,25.0,78.125,1,3,4,13.846000000000004,17.759000000000015,10.43899999999985,21.58900000000017,15.90825000000001,1.5715116370436715,4,3,6,1
37,4,300.0070999999999,69.57199999999989,100.0,78.125,4,0,5,16.649999999999864,16.73400000000015,26.514999999999873,14.979000000000042,18.719499999999982,5.342023024119239,4,3,6,1
37,5,300.0070999999999,76.85199999999986,75.0,78.125,3,1,5,10.571999999999889,26.59900000000016,13.304999999999836,28.131000000000085,19.651749999999993,3.81645400536848,4,3,6,1
37,6,300.0070999999999,74.20000000000005,75.0,78.125,3,1,5,10.076000000000022,20.47700000000009,18.39099999999985,26.923999999999978,18.966999999999985,3.9542363051616,4,3,6,1
37,7,300.0070999999999,81.471,75.0,78.125,3,1,5,10.660000000000082,16.125,28.402000000000044,27.80600000000004,20.74825000000004,3.61476269082934,4,3,6,1
37,8,300.0070999999999,57.753999999999905,100.0,78.125,4,0,5,15.019999999999982,20.41899999999987,10.197000000000116,12.117999999999938,14.438499999999976,6.92592720850505,4,3,6,1
38,1,300.0060000000001,103.95700000000011,100.0,90.625,4,0,5,24.71400000000017,19.718999999999824,20.590000000000146,13.349999999999909,19.593250000000012,5.103798502035136,4,4,5,2
38,2,300.0060000000001,50.32600000000002,100.0,90.625,4,0,7,11.32899999999995,13.637000000000171,14.41599999999994,16.18100000000004,13.890750000000025,7.1990353292658655,4,4,5,2
38,3,300.0060000000001,57.67899999999986,75.0,90.625,3,1,8,13.229000000000042,17.026999999999816,14.201999999999998,17.537000000000035,15.498749999999973,4.83909992741351,4,4,5,2
38,4,300.0060000000001,69.62300000000005,75.0,90.625,3,1,8,10.90800000000013,10.151999999999816,32.37300000000005,19.45600000000013,18.22225000000003,4.115847384378981,4,4,5,2
38,5,300.0060000000001,62.569999999999936,100.0,90.625,4,0,9,8.620999999999867,21.302000000000135,15.343999999999824,20.75,16.504249999999956,6.059045397397656,4,4,5,2
38,6,300.0060000000001,77.90800000000013,75.0,90.625,3,1,9,16.557999999999993,21.05600000000004,15.685000000000173,27.616999999999962,20.229000000000042,3.7075485688862444,4,4,5,2
38,7,300.0060000000001,99.1099999999999,100.0,90.625,4,0,9,31.531999999999925,17.048000000000002,35.184999999999945,16.97700000000009,25.18549999999999,3.970538603561575,4,4,5,2
38,8,300.0060000000001,72.93200000000002,100.0,90.625,4,0,9,14.552999999999884,15.1550000000002,22.682999999999993,20.54099999999994,18.233000000000004,5.484560960895079,4,4,5,2
39,1,300.0061999999999,103.73399999999992,75.0,78.125,3,1,2,19.422000000000025,15.680999999999813,36.42900000000009,24.008000000000038,23.88499999999999,3.140046054008793,2,2,3,1
39,2,300.0061999999999,99.59699999999998,75.0,78.125,3,1,3,22.213999999999942,41.28099999999995,14.079000000000178,24.135999999999967,25.42750000000001,2.9495624815652337,2,2,3,1
39,3,300.0061999999999,88.25900000000001,50.0,78.125,2,2,3,21.947999999999865,13.869000000000142,25.789999999999964,28.348999999999933,22.488999999999976,2.2233091733736514,2,2,3,1
39,4,300.0061999999999,64.61500000000001,100.0,78.125,4,0,2,17.91599999999994,17.701000000000022,14.993000000000166,15.448999999999842,16.514749999999992,6.0551930849695,2,2,3,1
39,5,300.0061999999999,99.55799999999999,75.0,78.125,3,1,3,31.223000000000184,29.86299999999983,14.34900000000016,25.962999999999965,25.349500000000035,2.9586382374405766,2,2,3,1
39,6,300.0061999999999,55.31899999999996,75.0,78.125,3,1,3,11.754999999999882,19.455000000000155,13.56899999999996,12.240999999999985,14.254999999999995,5.261311820413892,2,2,3,1
39,7,300.0061999999999,89.02399999999989,75.0,78.125,3,1,3,22.687999999999874,23.215000000000146,21.623000000000047,22.9079999999999,22.608499999999992,3.3173364000265395,2,2,3,1
39,8,300.0061999999999,94.60500000000002,100.0,78.125,4,0,3,32.66300000000001,5.192000000000007,28.136999999999944,28.613000000000056,23.651250000000005,4.228106336874371,2,2,3,1
40,1,300.0013,200.23399999999992,75.0,84.375,3,1,4,48.87999999999988,33.09699999999998,40.34400000000005,52.21199999999999,43.633249999999975,1.7188726487254569,6,3,7,2
40,2,300.0013,104.40499999999997,100.0,84.375,4,0,5,29.422000000000025,27.04300000000012,18.324999999999818,34.784000000000106,27.393500000000017,3.650501031266539,6,3,7,2
40,3,300.0013,121.5,50.0,84.375,2,2,6,40.069999999999936,43.43600000000015,18.743999999999915,26.962999999999965,32.30324999999999,1.547831874501792,6,3,7,2
40,4,300.0013,99.04600000000005,100.0,84.375,4,0,7,27.055000000000064,24.510999999999967,22.623000000000047,30.75499999999988,26.23599999999999,3.8115566397316676,6,3,7,2
40,5,300.0013,103.106,75.0,84.375,3,1,7,22.491999999999962,27.516000000000076,12.694999999999936,45.749000000000024,27.113,2.7662007155239183,6,3,7,2
40,6,300.0013,134.0250000000001,75.0,84.375,3,1,7,25.31899999999996,32.799000000000206,38.55699999999979,44.113000000000056,35.197,2.1308634258601584,6,3,7,2
40,7,300.0013,125.44100000000003,100.0,84.375,4,0,6,23.292000000000144,22.81899999999996,44.52599999999984,39.33800000000019,32.493750000000034,3.0775149067128265,6,3,7,2
40,8,300.0013,83.22600000000011,100.0,84.375,4,0,6,33.74299999999994,24.739000000000033,13.164999999999964,11.579000000000178,20.806500000000028,4.806190373200676,6,3,7,2
41,1,300.00199999999995,134.54899999999998,75.0,68.75,3,1,5,50.08699999999999,18.208000000000084,25.89799999999991,46.40800000000013,35.15025000000003,2.133697484370664,4,2,3,5
41,2,300.00199999999995,105.57399999999984,100.0,68.75,4,0,5,19.146999999999935,33.51800000000003,13.231999999999971,43.853000000000065,27.4375,3.644646924829157,4,2,3,5
41,3,300.00199999999995,154.05700000000002,75.0,68.75,3,1,5,34.705999999999904,49.825000000000045,38.98299999999995,35.261999999999944,39.69399999999996,1.8894543255907712,4,2,3,5
41,4,300.00199999999995,59.490999999999985,100.0,68.75,4,0,5,6.692000000000007,16.39300000000003,21.26800000000003,17.659000000000106,15.503000000000043,6.450364445591158,4,2,3,5
41,5,300.00199999999995,157.03899999999976,25.0,68.75,1,3,5,32.506999999999834,37.76300000000015,39.04599999999982,50.371000000000095,39.921749999999975,0.626225052759461,4,2,3,5
41,6,300.00199999999995,137.52100000000019,0.0,68.75,0,4,6,26.182999999999993,45.73999999999978,41.60900000000038,30.44699999999966,35.994749999999954,0.0,4,2,3,5
41,7,300.00199999999995,134.77800000000025,100.0,68.75,4,0,5,32.835000000000036,28.30300000000034,41.55399999999963,35.13200000000006,34.45600000000002,2.902252147666588,4,2,3,5
41,8,300.00199999999995,146.0630000000001,75.0,68.75,3,1,5,32.45900000000029,42.435999999999694,42.794000000000324,28.373999999999796,36.515750000000025,2.0539082450723303,4,2,3,5
44,1,300.00200000000007,119.6690000000001,75.0,90.625,3,1,3,41.690000000000055,7.714999999999918,13.805000000000064,19.36200000000008,20.64300000000003,3.6331928498764663,1,1,8,1
44,2,300.00200000000007,90.85899999999992,100.0,90.625,4,0,3,31.669999999999845,15.753000000000156,16.05399999999986,31.07900000000018,23.63900000000001,4.230297389906509,1,1,8,1
44,3,300.00200000000007,83.40699999999993,100.0,90.625,4,0,3,21.041999999999916,18.895999999999958,27.118999999999915,18.771000000000186,21.456999999999994,4.660483758214104,1,1,8,1
44,4,300.00200000000007,76.01800000000003,100.0,90.625,4,0,3,21.684999999999945,13.298999999999978,29.654999999999973,13.133000000000038,19.442999999999984,5.143239212055757,1,1,8,1
44,5,300.00200000000007,75.27700000000004,100.0,90.625,4,0,3,16.670000000000073,20.424999999999955,15.239000000000033,24.81899999999996,19.288250000000005,5.184503518981763,1,1,8,1
44,6,300.00200000000007,72.48199999999997,75.0,90.625,3,1,3,19.30399999999986,24.087000000000216,15.241999999999962,17.11999999999989,18.938249999999982,3.9602391984475895,1,1,8,1
44,7,300.00200000000007,98.0,75.0,90.625,3,1,4,23.327999999999975,25.006000000000085,38.475999999999885,13.71400000000017,25.13100000000003,2.984361943416494,1,1,8,1
44,8,300.00200000000007,64.0809999999999,100.0,90.625,4,0,4,13.59199999999987,19.94600000000014,17.370999999999867,13.172000000000025,16.020249999999976,6.242099842386988,1,1,8,1
45,1,300.00549999999987,111.44000000000005,75.0,78.125,3,1,4,37.83100000000013,7.180999999999813,32.01800000000003,29.076000000000022,26.5265,2.827361317927356,4,1,2,3
45,2,300.00549999999987,71.94399999999996,100.0,78.125,4,0,4,30.476000000000113,13.630999999999858,15.221000000000004,16.230000000000018,18.889499999999998,5.293946372323249,4,1,2,3
45,3,300.00549999999987,79.84000000000015,75.0,78.125,3,1,5,17.343000000000075,33.567999999999984,17.710000000000036,17.41899999999987,21.50999999999999,3.486750348675036,4,1,2,3
45,4,300.00549999999987,66.31000000000017,75.0,78.125,3,1,4,9.958000000000084,28.5,14.100999999999885,15.516000000000076,17.01875000000001,4.406904149834738,4,1,2,3
45,5,300.00549999999987,101.23399999999992,50.0,78.125,2,2,5,20.549999999999955,29.721000000000004,20.651000000000067,32.442999999999984,25.841250000000002,1.9348909205243552,4,1,2,3
45,6,300.00549999999987,92.09999999999991,75.0,78.125,3,1,5,17.59400000000005,22.934999999999945,34.028999999999996,21.14300000000003,23.925250000000005,3.134763482095275,4,1,2,3
