participant_number,tutorial_number,duration_fixation,duration_saccade,count_fixations,count_saccades
2,0,230.99999999999514,24.36842105263158,36,57
2,1,1985.8,21.571428571428573,5,21
2,2,1381.5714285714453,22.181818181818183,14,33
3,0,660.5633802817689,19.35483870967742,71,155
3,1,653.3333333333023,131.49606299212599,15,127
3,2,1156.250000000029,19.860627177700348,16,287
4,0,241.15652173913347,24.233766233766232,115,154
4,1,693.7142857142442,22.36842105263158,14,19
4,2,698.3461538461672,24.75438596491228,26,57
10,0,326.42592592591404,25.627906976744185,108,172
10,1,427.3333333333555,29.151515151515152,21,33
10,2,458.70270270268384,33.391891891891895,37,74
15,0,319.33734939759455,22.165384615384614,83,260
15,1,458.5500000000058,26.944444444444443,20,36
15,2,684.6071428571429,22.454545454545453,28,55
16,0,331.9818181818182,22.131386861313867,55,137
16,1,753.4166666666764,26.5,12,20
16,2,955.1000000000029,22.322580645161292,20,31
20,0,367.6617647058687,23.14516129032258,68,62
20,1,487.0000000000291,48.54545454545455,4,11
21,0,476.7291666666497,24.21311475409836,48,122
21,1,665.4285714285381,22.823529411764707,14,17
21,2,985.6842105263097,22.133333333333333,19,30
22,0,648.6857142857359,22.78301886792453,70,106
22,1,1362.1428571428737,21.0,7,9
22,2,815.6086956521689,23.071428571428573,23,28
23,0,284.9999999999897,22.192139737991265,102,229
23,1,1392.733333333345,21.742857142857144,15,35
23,2,1156.2666666666744,21.93548387096774,15,31
24,0,245.51851851852715,22.602150537634408,54,93
24,1,484.4499999999971,21.791666666666668,20,24
24,2,573.9032258064366,22.568181818181817,31,44
25,0,252.7272727272692,24.946902654867255,33,113
25,1,2138.3846153846066,23.615384615384617,13,13
25,2,695.6153846153712,22.82608695652174,26,23
26,0,321.7352941176265,25.32608695652174,34,46
26,1,372.43478260868045,23.46153846153846,23,26
26,2,351.41025641024146,40.4,39,50
27,0,307.14285714285717,22.188235294117646,42,85
27,1,3946.6363636363426,22.263157894736842,11,19
27,2,684.6296296296232,22.55,27,40
28,0,223.9591836734688,24.107954545454547,98,176
28,1,885.5454545454439,22.4375,11,16
28,2,699.4230769230769,21.91891891891892,26,37
29,0,239.8085106383053,23.09090909090909,47,110
29,1,880.2727272727432,21.818181818181817,11,11
29,2,875.3181818181871,22.11764705882353,22,34
30,0,938.116279069766,22.299145299145298,43,117
30,1,2054.461538461534,498.0810810810811,13,37
30,2,805.5000000000053,24.634615384615383,22,52
31,0,550.4631578947357,24.90995260663507,95,211
31,1,545.5294117647196,22.157894736842106,17,19
31,2,1184.2,22.0,15,28
32,0,347.95283018868145,22.494339622641508,106,265
32,1,790.1666666666279,22.24,12,25
32,2,909.285714285742,22.146341463414632,21,41
33,0,432.6140350877234,22.084033613445378,114,119
33,1,1350.1428571428073,22.53846153846154,7,13
33,2,648.3214285714245,29.352941176470587,28,34
34,0,384.9401197604902,22.7680412371134,167,194
34,1,437.7368421052632,21.708333333333332,19,24
34,2,955.2499999999884,22.24,20,25
35,0,384.8689320388434,22.939075630252102,206,476
35,1,753.7692307692487,22.083333333333332,13,24
35,2,636.4000000000373,22.67391304347826,25,46
36,0,294.1418439716337,23.48184818481848,141,303
36,1,1098.8888888889019,23.0,9,16
36,2,920.0952380952409,21.896551724137932,21,29
37,0,602.8263888888877,22.257142857142856,144,245
37,1,370.66666666665213,22.0,24,43
37,2,829.5238095237929,22.0,21,42
38,0,427.6093750000018,104.7984496124031,128,258
38,1,420.90000000000583,29.62162162162162,20,37
38,2,616.5517241379271,22.125,29,32
39,0,386.0967741935528,23.132911392405063,93,158
39,1,1573.1999999999923,22.26086956521739,15,23
39,2,343.3333333333493,22.602150537634408,51,93
40,0,355.1542857142857,22.424242424242426,175,231
40,1,690.2857142857143,23.0,14,26
40,2,651.3793103448496,21.194444444444443,29,36
41,0,324.4746835443023,23.52097902097902,158,286
41,1,305.296296296279,22.431372549019606,27,51
41,2,555.3666666666511,38.526315789473685,30,57
44,0,438.8595041322218,22.65625,121,224
44,1,485.52631578950434,22.0,19,34
44,2,880.9090909090909,22.023255813953487,22,43
45,0,364.93370165745534,135.2826086956522,181,230
45,1,889.5454545454439,22.11111111111111,11,18
45,2,871.8095238095349,22.2,21,30
46,0,264.5739130434757,23.51865671641791,115,268
46,1,719.8461538461404,21.85185185185185,13,27
46,2,807.0454545454334,22.227272727272727,22,22
47,0,483.94736842105937,22.22279792746114,190,193
47,1,377.00000000000483,23.782608695652176,24,23
47,2,448.84615384613295,22.148936170212767,39,47
48,0,364.95132743363064,23.95533498759305,226,403
48,1,717.9230769230769,22.1,13,30
48,2,641.133333333341,22.15,30,40
49,0,577.8039215686298,22.11814345991561,102,237
49,1,606.3750000000218,22.333333333333332,16,30
49,2,862.8181818181712,22.20689655172414,22,29
50,0,314.1312741312791,23.21698113207547,259,212
50,1,986.3,22.125,10,16
50,2,1250.733333333279,22.16,15,25
51,0,469.6544117647093,22.69402985074627,136,268
51,1,757.6923076923166,21.956521739130434,13,23
51,2,617.7666666667094,22.128205128205128,30,39
52,0,394.90909090908696,26.185873605947954,176,269
52,1,549.0588235293844,22.214285714285715,17,28
52,2,858.7619047618992,21.970588235294116,21,34
53,0,289.48908296943256,22.90532544378698,229,338
53,1,295.4230769230814,365.13461538461536,26,52
53,2,420.14634146341035,24.4,41,50
54,0,386.8022598869978,22.295336787564768,177,193
54,1,1936.4000000000233,21.4,5,10
54,2,2012.5555555555427,22.291666666666668,9,24
56,0,484.8522727272648,22.27810650887574,176,169
56,1,978.5000000000116,21.842105263157894,10,19
56,2,799.2142857142691,22.041666666666668,14,24
57,0,419.8598726114594,22.849829351535835,157,293
57,1,403.4347826087058,22.121951219512194,23,41
57,2,431.90476190475357,22.295081967213115,42,61
59,0,427.3767123287759,23.64968152866242,146,157
59,1,1365.8749999999927,24.11764705882353,16,17
59,2,1033.0000000000068,21.823529411764707,17,17
60,0,439.20737327189636,24.83539094650206,217,243
60,1,646.6666666666589,22.0625,15,16
60,2,1282.846153846163,22.09090909090909,13,22
61,0,471.1293103448326,25.46875,232,320
61,1,877.7272727272833,22.22222222222222,11,18
61,2,925.3157894736536,41.705882352941174,19,17
62,0,437.616766467069,22.43921568627451,167,255
62,1,450.09523809525473,21.666666666666668,21,15
62,2,626.6896551724018,24.105263157894736,29,38
65,0,456.3982300884822,22.074074074074073,113,243
65,1,1812.8571428571345,21.818181818181817,14,22
65,2,768.2083333333236,26.59375,24,32
66,0,445.67073170731993,22.340740740740742,164,270
66,1,1668.3846153845884,22.27777777777778,13,18
66,2,771.2727272726744,21.42105263157895,22,19
67,0,396.4656084656091,24.25877192982456,189,228
67,1,640.6666666666899,21.68,15,25
67,2,591.0312499999964,22.210526315789473,32,38
68,0,310.344,79.12531969309462,250,391
68,1,2003.0909090908667,28.375,11,24
68,2,862.7272727272992,25.216216216216218,22,37
71,0,366.4791666666715,22.168,192,250
71,1,603.3750000000109,21.666666666666668,16,27
71,2,1138.4705882352941,22.647058823529413,17,17
72,0,384.41206030151983,22.83219178082192,199,292
72,1,753.6153846154025,22.181818181818183,13,11
72,2,762.7619047619103,23.083333333333332,21,24
73,0,343.16872427983776,22.175757575757576,243,330
73,1,894.090909090888,24.5,11,10
73,2,987.0588235293912,22.57894736842105,17,19
74,0,313.39252336448436,24.07377049180328,214,366
74,1,896.4545454545666,23.105263157894736,11,19
74,2,673.4642857142733,22.25925925925926,28,54
75,0,385.861111111115,22.88082901554404,180,193
75,1,993.0000000000058,22.4375,20,32
75,2,1190.750000000029,22.107142857142858,16,28
76,0,317.96916299559524,23.834983498349835,227,303
76,1,2080.818181818171,22.2,11,15
76,2,830.7142857142802,22.4,21,25
77,0,414.4212962963006,32.01704545454545,216,176
77,1,2955.4285714285716,22.58823529411765,7,17
77,2,925.55,22.523809523809526,20,21
78,0,286.7009345794414,22.320224719101123,107,178
78,1,596.6875,21.79310344827586,16,29
78,2,746.346153846127,27.3,26,30
79,0,274.51666666666665,22.592814371257486,60,167
79,1,1237.625,22.25,16,24
79,2,1060.7647058823597,33.72727272727273,17,44
80,0,470.2484076433088,22.635802469135804,157,162
80,1,2824.81818181815,22.266666666666666,11,15
80,2,607.9090909091068,22.641025641025642,22,39
81,0,540.2058823529441,21.892617449664428,102,149
81,1,1654.833333333314,22.176470588235293,6,17
81,2,693.7692307692218,21.79310344827586,26,29
